date,고흥·녹동항,당진·삽교호,부산·광안리
2024-11-27,0.04474,0.0556,0.39627
2024-11-28,0.0409,0.06391,0.45826
2024-11-29,0.10162,0.30743,0.774
2024-11-30,0.2972,0.90247,3.30887
2024-12-01,0.01533,0.16298,0.74396
2024-12-02,0.01725,0.05177,0.55669
2024-12-03,0.00894,0.03643,0.48383
2024-12-04,0.00383,0.0147,0.45507
2024-12-05,0.00511,0.01725,0.56692
2024-12-06,0.01086,0.03323,0.83728
2024-12-07,0.01789,0.09012,2.93241
2024-12-08,0.00894,0.05752,0.66151
2024-12-09,0.00319,0.03259,0.54199
2024-12-10,0.01214,0.02109,0.49789
2024-12-11,0.01725,0.02237,0.48703
2024-12-12,0.00511,0.01853,0.60207
2024-12-13,0.0115,0.03707,0.85006
2024-12-14,0.01278,0.07222,3.0628
2024-12-15,0.00319,0.01406,0.75163
2024-12-16,0.00447,0.01853,0.62508
2024-12-17,0.00894,0.02109,0.55286
2024-12-18,0.00383,0.02364,0.61422
2024-12-19,0.0,0.0262,0.63211
2024-12-20,0.00447,0.01022,0.95872
2024-12-21,0.01597,0.0294,3.94802
2024-12-22,0.01533,0.0377,1.03669
2024-12-23,0.01214,0.05368,0.91014
2024-12-24,0.01981,0.17704,1.16516
2024-12-25,0.02428,0.05241,1.41571
2024-12-26,0.01406,0.0083,0.85198
2024-12-27,0.02045,0.0147,1.16516
2024-12-28,0.02428,0.02173,3.86301
2024-12-29,0.01022,0.01086,1.71803
2024-12-30,0.03004,0.00766,4.58397
2024-12-31,0.02109,0.00511,3.67255
2025-01-01,0.01022,0.00511,0.97981
2025-01-02,0.01022,0.0,0.71904
2025-01-03,0.00958,0.01086,0.9012
2025-01-04,0.00958,0.02812,3.06088
2025-01-05,0.00319,0.00383,0.66407
2025-01-06,0.0,0.00319,0.55605
2025-01-07,0.0,0.0,0.54391
2025-01-08,0.0,0.0,0.54519
2025-01-09,0.00447,0.0,0.54391
2025-01-10,0.00447,0.0,0.69028
2025-01-11,0.01214,0.0147,2.79436
2025-01-12,0.00447,0.00894,0.70114
2025-01-13,0.00894,0.0,0.53368
2025-01-14,0.0,0.0,0.55222
